Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
28	904	0	76.9	9	43	9	13	44.2	16.1	18.4	1.67e+03	44	9	13	370
27	543	0	54.2	9.46	21	9	12	21.7	14.1	11.9	1.47e+03	21	10	10	395
26	531	0	53.3	7.58	12	25	23	17.6	22.6	26.1	1.55e+03	19	24	31	384
25	312	1.42e-37	36.8	6.31	42	45	21	39.9	34.3	20.8	932	48	37	20	349
24	264	1.74e-33	32.8	7.08	29	27	28	30.7	30.8	27.6	858	32	34	28	376
23	99	7.84e-17	16.1	5.45	19	32	20	22.5	33.2	18.5	564	26	35	16	292
22	89	1.35e-15	14.9	7.35	25	14	28	24.8	12.2	26.9	843	26	13	28	375
21	67	1.07e-12	12	5.59	18	31	25	15.5	31.1	25	588	13	31	25	336
20	64	2.8e-12	11.6	6.44	41	29	28	40.3	29.1	29.6	782	40	28	28	405
19	57	2.82e-11	10.5	6.64	40	41	26	40	43.8	26.7	770	40	42	26	372
18	41	8.18e-09	8.09	6.9	22	43	21	22.2	41.9	20.4	671	22	43	21	326
17	31	4.17e-07	6.38	4.43	32	11	18	31.3	11.4	16.6	534	32	11	18	383
16	31	4.17e-07	6.38	4.19	36	40	18	35.2	37.8	18.7	414	32	34	19	298
15	31	4.17e-07	6.38	5.72	19	37	19	17.8	37.8	18.1	683	16	39	18	411
14	27	2.26e-06	5.64	5.93	47	27	16	48.1	27.5	16.2	554	48	28	16	331
13	25	5.36e-06	5.27	5.09	30	23	22	31.6	23.5	22.2	608	32	24	22	419
12	20	5.32e-05	4.27	4.51	37	18	5	37.5	18	5.1	333	38	19	6	274
11	16	0.000384	3.42	4.47	20	42	28	19.9	41.2	28	360	20	42	28	275
10	15	0.000645	3.19	4.6	36	23	5	36.9	23.3	5.65	334	36	23	5	278
9	14	0.0011	2.96	5.02	43	17	19	44.1	15.6	18.6	434	44	15	19	321
8	14	0.0011	2.96	4.52	16	32	17	15.5	33.8	18.5	401	16	32	17	278
7	9	0.0193	1.71	4.93	33	28	33	33.4	28.7	33.6	665	33	28	34	509
6	9	0.0193	1.71	4.42	50	17	17	49.8	17.6	17.5	531	50	17	18	376
5	9	0.0193	1.71	4.07	34	13	28	35.5	13.8	28.6	441	34	13	28	337
4	9	0.0193	1.71	4.8	26	18	8	26	18	8	384	26	18	8	305
3	8	0.0361	1.44	4.75	41	22	32	41	22	31.5	577	41	22	32	426
2	8	0.0361	1.44	4.1	25	23	6	23.9	23.1	6	328	25	23	6	266
1	8	0.0361	1.44	5.47	40	28	6	39.8	28	5.9	388	40	28	6	310
