Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
25	616	0	59.1	7.81	-63.6	-22.9	28.4	-42.3	-31.1	46.7	1.59e+03	-39.6	-15.6	66.5	372
24	445	0	47.2	7.59	36.2	-89.5	-5.9	37	-71.8	0.0819	1.44e+03	39.5	-89.7	-5.97	381
23	390	8.55e-44	43.1	8.21	-36.7	-88	-19.3	-36	-72.6	-12.1	1.31e+03	-36.7	-88	-19.3	394
22	377	8.66e-43	42.1	6.69	58	-42.3	19.9	48.3	-38.1	37.4	1.04e+03	49.2	-29.4	62.6	353
21	285	2.65e-35	34.6	6.3	-0.0432	-5.63	36.3	-1.4	-3.15	43.7	697	3.42	-12.4	58.9	374
20	268	7.78e-34	33.1	5.96	36.1	6.12	0.48	37.9	0.0625	2.9	966	62.5	2.1	0.816	351
19	197	2.47e-27	26.6	5.89	-43.6	-4.66	1.43	-35.4	0.323	-2.54	693	-50	11.2	-13.6	316
18	71	3.03e-13	12.5	6	-59.5	1.26	31	-50.7	-0.31	29.6	643	-59.5	1.26	31	318
17	61	7.46e-12	11.1	6.12	29.8	-6.97	46	31	-4.71	54.1	711	29.8	-10	46.9	387
16	55	5.55e-11	10.3	5.6	-7.6	-18.2	4.39	-10.8	-18	0.987	470	-7.6	-18.2	4.39	279
15	28	1.43e-06	5.84	4.6	30.8	36.2	22.2	30.1	39.3	25.5	479	31.1	40.6	26	378
14	28	1.43e-06	5.84	4.69	36.9	32	-2.43	34.6	27.3	-0.797	431	36.9	32	-2.43	303
13	27	2.26e-06	5.64	4.05	14	-66.1	3.06	6.02	-68.7	7.83	531	0.81	-67.3	9.04	378
12	25	5.36e-06	5.27	5.33	-29.5	22.2	2.92	-30.7	28.5	-3.63	457	-29.5	22.2	2.92	299
11	24	8.34e-06	5.08	4.91	54.7	-27.8	-10.3	53.1	-28.9	-8.84	469	54.7	-27.8	-10.3	303
10	17	0.000231	3.64	5.13	-1.21	-35.7	25.1	0.751	-35.1	24.8	560	-1.21	-35.7	25.1	426
9	14	0.0011	2.96	4.5	16.2	-72.4	-51.7	17.8	-72.2	-53.1	326	16.1	-75.5	-50.8	262
8	13	0.00189	2.72	4.51	-15.9	-6.11	78.2	-17	-3.98	75.4	1e+03	-15.8	-3.04	77.2	637
7	12	0.0033	2.48	4.15	-1.57	-20.7	-25.9	-2.35	-25.5	-28.2	476	1.73	-20.8	-26	286
6	11	0.00584	2.23	4.19	-2.72	20.7	23.1	3.74	20.8	21.9	394	-2.72	20.7	23.1	269
5	10	0.0105	1.98	4.61	3.74	-65.2	-17.5	3.57	-65.7	-18.3	435	3.74	-65.2	-17.5	313
4	9	0.0193	1.71	4.63	40.8	-62.9	16.6	41.1	-62.9	15.6	426	40.8	-62.9	16.6	304
3	9	0.0193	1.71	4.17	-30.1	-75.5	-44	-30.5	-76.3	-44.2	420	-30.1	-75.5	-44	333
2	9	0.0193	1.71	3.94	10.9	5.19	73.8	10.4	5.36	72.6	591	7.72	11.4	71.9	489
1	8	0.0361	1.44	4.89	-35.3	29.1	37	-34.1	33	36.9	328	-31.7	36.5	39.7	286
