Cluster Index	Z	x	y	z	
28	9	36.2	-89.5	-5.9
28	7.27	34	-73.5	25.3
28	7.2	43.4	-68.3	-12.7
28	6.98	35.1	-48.2	43.1
28	6.85	58	-45.4	20.9
28	6.85	49.9	-70	-17.6
27	9.46	-36.6	-88.3	-8.91
27	9.01	-36.7	-88	-19.3
27	7.27	-49.3	-74.2	-7.71
27	7.07	-42.9	-74.1	-18.2
27	6.84	-39	-59.2	-12.7
27	6.26	-32.4	-53.1	-25.1
26	7.58	-63.6	-22.9	28.4
26	7.05	-63.4	-24.8	44.4
26	7.02	-50.4	-28.1	34.7
26	6.8	-50.2	-31.7	56.4
26	6.71	-39.6	-18.6	67.4
26	6.58	-32.7	-11.4	70.1
25	6.31	36.9	32	-2.43
25	6.14	55.9	5.4	0.0172
25	6.12	9	-15.8	3.06
25	5.99	49.7	5.1	20.9
25	5.88	59.8	9.2	24.5
25	5.22	-7.6	-18.2	4.39
24	7.08	-6.65	-11.8	48.7
24	6.91	7.23	12.2	40.8
24	6.24	3.84	2.9	54.1
24	5.64	-3.01	0.35	44.8
24	5.58	-9.25	11.2	46.8
24	4.64	-14	-26.3	32.9
23	5.45	-40.3	-6.44	7.02
23	4.96	-27.1	-5.26	1.04
23	4.41	-23.6	0.75	-0.94
23	4.4	-24.1	-6.5	-14.1
23	3.94	-37.4	-15.5	-0.578
23	3.9	-27.5	-12.5	-12.1
22	7.35	-20.9	-51.1	61.4
22	6.06	-28.3	-67.3	51.2
22	4.24	-7.9	-57.7	63
22	4.07	-15.1	-70.9	51.9
22	3.84	-24.8	-59.6	43.6
22	3.41	-14.4	-48	49.9
21	5.59	-43	-2.4	31.6
21	5.2	-59.5	1.26	31
21	5.08	-59.7	-9.6	39.6
21	3.87	-36.3	5.15	23.9
21	3.66	-56.4	0.0119	15.9
20	6.44	33.2	-7.09	45.9
20	5.25	33.7	1.56	63.8
20	3.84	23.7	6.91	47
19	6.64	30.6	27	25.1
19	5.79	27.5	36.3	22.3
19	4.37	24.8	51.5	28
19	3.77	37.5	39	21.1
19	3.67	31.3	43.4	35.4
19	3.54	37.9	44.9	29.6
18	6.9	-29.3	28.3	1.01
18	5.26	-26.4	19.2	-6.58
18	3.62	-19.7	15.7	4.6
17	4.43	0.684	-75.1	16.6
17	3.95	0.228	-82.4	3.42
17	3.77	-5.96	-73.2	11.1
16	4.19	16.3	13.2	-11.3
16	4.04	12.9	3.89	1.97
16	3.74	2.81	-0.208	-1.56
16	3.2	19.4	0.59	2.77
15	5.72	-40	7.47	-2.46
15	4.85	-49.8	12.6	-8.85
15	3.82	-53.2	16	-20.1
14	5.93	51.3	-30.7	-9.22
13	5.09	-4.43	-32.5	24.2
13	4.98	2.26	-29.7	23.1
13	4.92	5.4	-36	24.9
12	4.51	16.2	-72.4	-51.7
11	4.47	-35.1	35.2	35.1
11	4.05	-35.3	29.1	37
11	3.96	-41.8	32.4	36.2
10	4.6	13.3	-57	-56.4
10	3.97	16.9	-49.6	-53.7
10	3.15	23.3	-54.3	-57.6
9	4.52	-50.5	-10.3	-6.89
9	4.14	-50	0.042	5.34
9	3.55	-56.8	2.22	-10.5
8	5.02	37.6	-56.7	14.8
8	4.73	40.8	-62.9	16.6
7	4.07	8.7	-55.3	61.7
6	4.93	7.27	-2.21	71
6	3.72	10.9	5.19	73.8
5	4.8	-19.8	-66.9	-36.7
4	4.42	60.5	-60.3	4.79
4	4.25	60.7	-54.2	2.88
3	4.1	-22.9	-54.3	-50.8
2	5.47	27	-40.8	-56.8
1	4.75	33.1	-22.9	71.4
