Cluster Index	Z	x	y	z	
25	7.81	12	25	23
25	7.09	19	23	31
25	6.61	16	20	28
25	6.52	25	14	28
25	6.47	12	23	26
25	6.42	16	25	21
24	7.59	43	9	13
24	7.1	42	9	19
24	7.1	48	18	12
24	6.29	40	14	21
24	6.23	42	22	12
24	5.99	45	15	13
23	8.21	21	10	10
23	7.8	21	9	12
23	6.97	17	14	13
23	6.72	18	14	11
23	6.03	20	15	12
23	5.78	21	21	10
22	6.69	49	21	21
22	6.21	42	17	25
22	5.7	43	22	25
22	5.45	49	24	27
22	5.25	41	22	32
22	5.06	48	25	22
21	6.3	31	30	26
21	6.14	29	27	28
21	5.81	29	24	27
21	5.65	33	35	28
21	5.27	32	31	30
21	5.19	30	38	27
20	5.96	42	37	20
20	5.8	48	37	20
20	5.78	44	36	25
20	5.71	50	36	20
20	5.63	34	30	19
20	5.47	49	35	25
19	5.89	18	33	19
19	5.46	24	34	16
19	5.17	16	34	20
19	5.11	21	35	19
19	5.03	19	37	19
19	4.65	16	39	18
18	6	13	32	25
18	4.75	17	31	25
18	4.19	19	33	24
18	4.16	13	28	26
18	3.91	22	33	24
18	3.57	17	34	24
17	6.12	40	29	28
17	5.2	41	30	32
17	4.96	43	29	29
16	5.6	29	29	19
16	4.22	28	30	15
16	4.09	27	26	19
16	3.91	28	29	17
16	3.79	26	31	21
16	3.68	29	33	19
15	4.69	42	45	21
15	4.03	43	42	21
14	4.6	40	44	26
14	4.23	40	43	28
14	3.92	40	41	26
13	4.05	36	15	16
13	3.83	32	11	15
13	3.8	32	14	17
13	3.69	30	11	16
13	3.39	32	11	18
13	3.34	38	16	17
12	5.33	22	41	21
12	3.58	22	47	20
12	3.39	20	47	19
11	4.91	48	28	16
11	3.8	50	30	16
10	5.13	31	22	22
9	4.5	37	18	5
8	4.51	26	26	34
7	4.15	31	31	13
7	3.83	30	27	12
6	4.19	30	39	25
6	3.54	34	40	25
5	4.61	33	17	12
4	4.17	23	16	6
3	3.94	34	30	34
3	3.42	35	32	34
2	4.63	44	15	19
2	4.22	43	17	19
1	4.89	20	40	28
1	4.02	20	42	28
