Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	2187	3.42e-27	26.5	7.89	50	-68	0	40.1	-69.4	-11.3	594	52	-68	0	241
17	2167	5.08e-27	26.3	5.75	-32	-52	42	-33.2	-43.1	56.2	653	-16	-20	80	272
16	1728	4.13e-23	22.4	7.27	-48	-74	-10	-39.3	-78	-9.22	554	-34	-94	2	244
15	1236	2.64e-18	17.6	6.92	30	-56	68	41.4	-48.2	44.3	1.02e+03	30	-56	68	274
14	724	1.51e-12	11.8	5.25	26	-66	52	18.6	-70.7	41.7	516	12	-78	50	245
13	625	2.72e-11	10.6	6.69	48	14	32	47	12.2	31.1	532	48	14	32	273
12	592	7.37e-11	10.1	4.89	6	4	58	2.42	3.45	52.4	431	0	-8	54	262
11	484	2.21e-09	8.66	6.49	-20	-64	32	-25.2	-73.8	25.1	532	-20	-64	32	233
10	189	0.000135	3.87	4.21	28	-10	54	34.2	-6.51	57	407	34	-16	70	231
9	182	0.000185	3.73	4.13	56	12	4	43	16.6	2.87	337	58	12	4	217
8	124	0.00298	2.53	5.55	-60	-20	30	-58	-20.3	29.9	476	-62	-20	30	267
7	116	0.00451	2.35	5.18	4	-36	28	0.262	-37.1	26.3	367	2	-36	28	222
6	110	0.00619	2.21	5.03	-50	10	40	-49.8	6.58	39.3	450	-50	10	40	249
5	97	0.0125	1.9	4.39	38	-80	20	38.7	-78.7	20.6	322	40	-76	28	209
4	93	0.0157	1.81	4.22	2	-36	80	2.37	-27.8	80.6	506	2	-12	80	330
3	86	0.0233	1.63	5.03	-18	6	26	-18.9	8.7	25.1	303	-16	4	26	187
2	85	0.0247	1.61	4.22	26	56	-8	24.6	56.7	-6.08	271	26	58	-4	208
1	82	0.0293	1.53	5.25	48	-24	-4	48.4	-23.8	-4.37	321	48	-24	-4	219
