Cluster Index	Z	x	y	z	
23	8.47	-38	-14	70
23	8.02	-52	-30	60
23	7.68	-60	-20	32
23	7.03	-20	-50	64
23	7.01	-62	-24	48
23	6.82	-40	-40	62
22	10.7	36	-88	-2
22	7.31	54	-60	-16
22	7.16	34	-70	28
22	6.92	48	-68	-14
22	6.9	44	-66	-10
22	6.29	18	-68	42
21	11.3	-36	-86	-4
21	9.28	-36	-86	-14
21	7.59	-48	-70	-18
21	7.16	-40	-58	-12
21	7.16	-42	-72	-12
21	6.94	-38	-66	-4
20	8.07	56	-40	24
20	6.81	36	-46	46
20	6.54	56	-34	56
20	6.07	48	-38	18
20	5.9	52	-38	38
20	5.58	34	-50	68
19	7.12	4	12	46
19	6.71	4	6	52
19	5.75	-6	4	42
19	5.37	-6	-10	52
19	5.35	-10	-10	48
19	5.27	0	-2	44
18	6.9	8	-14	8
18	5.33	26	-4	0
18	5.22	34	34	2
18	5.13	28	0	-2
18	4.93	46	16	-6
18	4.74	50	18	-8
17	6.57	58	8	4
17	6	60	10	24
17	5.53	48	6	20
17	5.42	44	12	28
17	4.76	44	14	34
17	4.71	50	6	34
16	7.43	30	-4	52
16	5.44	18	12	70
16	5.39	20	8	70
16	4.52	28	8	60
16	4.52	34	4	64
16	3.42	24	8	50
15	5.31	-20	-64	-32
15	4.74	-6	-74	-20
15	4.64	-14	-76	-22
15	4.45	-14	-74	-40
15	4.32	-8	-74	-30
15	3.86	-22	-68	-44
14	6.47	30	32	28
14	4.89	28	48	24
14	4.88	32	46	38
14	4.87	24	54	32
14	4.79	28	50	28
14	4.69	28	52	36
13	5.46	0	-74	18
13	4.96	0	-80	8
13	4.16	14	-64	8
12	6.86	-8	-16	8
12	4.17	-10	-6	8
12	3.89	-8	-16	-2
12	3.3	-18	-30	4
11	6.48	-44	0	36
11	5.54	-60	4	36
11	4.42	-50	-2	42
11	3.95	-58	-4	42
11	3.21	-50	-2	18
10	5.75	-42	10	2
10	5.21	-44	-4	6
10	4.82	-48	12	-4
10	4.56	-38	-4	16
10	4.01	-36	10	12
10	3.86	-50	0	8
9	6.53	4	-30	28
9	6.15	-4	-32	28
9	4.7	6	-20	28
8	4.65	-26	-6	6
8	4.47	-24	4	4
8	4.34	-30	-8	-2
8	4.32	-24	-4	-10
8	3.54	-16	14	-6
7	5.9	34	-46	-20
7	4.83	28	-46	-28
6	6.4	-30	28	6
5	5.62	16	-72	-20
5	3.75	24	-64	-14
5	3.69	20	-70	-14
5	3.55	12	-64	-12
5	3.53	0	-64	-12
4	4.92	-32	38	40
4	4.55	-34	36	36
4	4.29	-38	32	42
3	4.77	-6	-6	76
3	4.44	-12	-8	82
3	4.28	-18	-6	78
2	4.25	14	-32	-42
2	3.92	20	-42	-46
2	3.76	20	-36	-46
2	3.65	26	-38	-52
2	3.64	20	-32	-44
2	3.62	18	-46	-48
1	4.38	-10	-48	-38
1	4.03	-10	-46	-48
1	3.51	-16	-38	-44
