Cluster Index	Z	x	y	z	
7	4.25	24	-66	50
7	4.24	14	-68	52
7	4.2	34	-60	48
7	3.65	50	-34	58
7	3.63	30	-66	32
7	3.55	28	-64	42
6	3.87	48	-66	-12
6	3.83	52	-62	-14
6	3.76	42	-62	-4
6	3.59	52	-72	-6
6	3.46	50	-60	-2
6	3.41	46	-76	-8
5	4.25	-46	-70	-6
5	4.23	-44	-70	-2
5	3.4	-44	-62	0
5	3.31	-40	-60	-10
5	3.26	-48	-62	-2
4	4.32	44	4	28
4	4.21	48	8	22
4	3.75	48	10	34
4	3.44	42	14	30
3	3.94	-24	-62	52
3	3.8	-22	-66	46
3	3.65	-26	-58	52
3	3.46	-30	-54	54
3	3.31	-22	-58	46
2	3.74	-4	16	48
2	3.69	-4	12	50
2	3.68	6	20	50
2	3.67	4	16	48
2	3.33	6	6	60
1	4.05	32	24	-4
